id,title,description,google_product_category,product_type,brand,identifier_exists,custom_label_0,custom_label_1,custom_label_2,custom_label_3
40854,"Плазморіз MAGNITEK CUT40 CT-520, CUT/TIG/MMA, 220V","Плазморіз MAGNITEK CUT40 CT-520 — багатофункціональний інвертор для плазмового різання, аргонодугового (TIG) та ручного дугового (MMA) зварювання. Підключення від мережі 220V. Компактна конструкція, інверторна технологія. Підходить для різання сталі, нержавійки, алюмінію, виконання TIG та MMA зварювання в одному апараті. Широко застосовується в майстернях, на виробництвах та для виїзних робіт.",1238,Сварка > Аппараты > Плазморезы CUT,MAGNITEK,no,apparat,,CUT-plasma,
40856,"Машина для заточки вольфрамових електродів MAGNITEK MZV-220, алмазний диск","Машина для заточки вольфрамових електродів MAGNITEK MZV-220 — спеціалізований верстат із алмазним диском для підготовки електродів TIG-зварювання. Забезпечує точне заточування під заданий кут, рівний і чистий конус без сколів. Призначена для електродів різних діаметрів. Підходить для зварювальних цехів, авторемонтних майстерень та виробництв, де потрібна стабільна якість TIG-шва.",1238,Сварка > Аппараты > Очки,MAGNITEK,no,apparat,,TIG-argon,
40857,"Зварювальний інвертор MAGNITEK MMA-250, 250 А, 220V","Зварювальний інвертор MAGNITEK MMA-250 — апарат ручного дугового зварювання (MMA) потужністю 250 А, підключення від мережі 220V. Інверторна технологія забезпечує стабільну дугу, легкий підпал електрода та антизалипання. Підходить для зварювання сталі, чавуну та інших чорних металів покритими електродами. Використовується в будівництві, ремонтних майстернях та на виробництві.",1238,Сварка > Аппараты > Инверторы MMA,MAGNITEK,no,apparat,,MIG-MAG,
40860,"Зварювальний інвертор MAGNITEK MMA-320 ZX7, 320 А, 220V","Зварювальний інвертор MAGNITEK MMA-320 (ZX7) — апарат ручного дугового зварювання потужністю 320 А, мережа 220V. Серія ZX7 на IGBT-модулях із захистом від перегріву та антизалипанням електрода. Діапазон регулювання струму дозволяє працювати з електродами різних діаметрів. Для зварювання сталі, нержавійки та чавуну в будівництві, ремонті металоконструкцій.",1238,Сварка > Аппараты > Инверторы MMA,MAGNITEK,no,apparat,,MIG-MAG,
40864,"Зварювальний апарат MAGNITEK TIG/MMA-250, TIG/MMA, 250 А, 220V","Зварювальний апарат MAGNITEK TIG/MMA-250 — інвертор для аргонодугового (TIG) та ручного дугового (MMA) зварювання. Струм до 250 А, підключення 220V, потужність 5 кВт. TIG-режим: вольфрамові електроди до 3,2 мм, максимальна товщина сталі 4-5 мм за один прохід. MMA-режим: електроди до 4,0 мм, товщина до 8 мм. Вага 9 кг, розміри 470×250×350 мм. У комплекті пальник TS17 4 м, електродотримач та кабель маси. Країна виробник: Чехія.",1238,Сварка > Аппараты > Аргон TIG,MAGNITEK,no,apparat,,TIG-argon,
40866,"Зварювальний апарат MAGNITEK ProTIG-250Di, TIG DC/MMA, 250 А, 230V","Зварювальний апарат MAGNITEK ProTIG-250Di — інверторний апарат DC TIG (GTAW) з імпульсним режимом та MMA (SMAW). Вхідна напруга 230 В, 1 фаза. Струм TIG: 5-250 А, MMA: 20-200 А. Безконтактний HF-підпал, 10 програм пам'яті, функція точкового зварювання. Вольфрамові електроди 1,6-3,2 мм, електроди MMA до 4,0 мм. Для нержавійки, вуглецевої сталі, сплавів. Вага 15 кг, розміри 410×190×305 мм.",1238,Сварка > Аппараты > Аргон TIG,MAGNITEK,no,apparat,,TIG-argon,
40867,"Зварювальний апарат MAGNITEK AluTIG-250HD, TIG AC/DC/MIX/MMA, 250 А, 230V","Зварювальний апарат MAGNITEK AluTIG-250HD — інвертор для зварювання алюмінію та сплавів у режимі AC TIG, а також сталі та нержавійки в режимі DC TIG, MIX TIG та MMA. Вхідна напруга 230 В, 1 фаза. Струм TIG: 5-250 А, MMA: 20-200 А при ПВ 60%. Імпульсний режим із частотою 0,2-200 Гц, AC-частота 20-250 Гц, регулювання балансу очищення. HF та LIFT підпал, вбудований енкодер. Вага 23 кг, розміри 540×240×480 мм.",1238,Сварка > Аппараты > Аргон TIG,MAGNITEK,no,apparat,,TIG-argon,
40868,"Зварювальний апарат MAGNITEK TIG-250P AC/DC, TIG AC/DC/MMA, 250 А","Зварювальний апарат MAGNITEK TIG-250P AC/DC — інвертор для аргонодугового зварювання змінним (AC) і постійним (DC) струмом із режимами TIG та MMA. Струм до 250 А, підтримка AC TIG для алюмінію і DC TIG для сталі та нержавійки. Імпульсний режим, HF підпал. Підходить для зварювання алюмінію, сплавів, нержавіючої та вуглецевої сталі в цехових та виробничих умовах.",1238,Сварка > Аппараты > Аргон TIG,MAGNITEK,no,apparat,,TIG-argon,
40871,"Зварювальний апарат MAGNITEK PulseTIG-500P AC/DC, TIG AC/DC/MMA, 500 А, 220-380V","Зварювальний апарат MAGNITEK PulseTIG-500P AC/DC — потужний інвертор для TIG зварювання змінним (AC) і постійним (DC) струмом із функцією Pulse. Струм 10-500 А, напруга 220/380 В ±10%, потужність до 12 кВт. AC-режим для алюмінію та кольорових металів, DC для сталі, нержавійки, міді, титану. Частота імпульсу 0,2-200 Гц. Вольфрамові електроди DC до 6,4 мм, AC до 4,8 мм. Вага 38 кг, розміри 560×360×450 мм.",1238,Сварка > Аппараты > Аргон TIG,MAGNITEK,no,apparat,,TIG-argon,
40874,"Плазморіз MAGNITEK CUT-60, CUT, 60 А, 220-380V","Плазморіз MAGNITEK CUT-60 — інверторний апарат плазмового різання зі струмом до 60 А, підключення 220V або 380V. Максимальна товщина різу 25 мм. Підходить для сталі, алюмінію, міді та інших провідних металів. Інверторна технологія забезпечує стабільну дугу та якісний різ. Компактна конструкція дозволяє використовувати на виробництві, у майстернях та для виїзних робіт.",1238,Сварка > Аппараты,MAGNITEK,no,apparat,,CUT-plasma,
